i,si1,si2,si3,si4,si5,gi,yi,predicted_gi
1,13.592433,12.220855,8.416754,75.921057,21.635259,40.0,,40.84077
2,15.775386,13.586879,8.72589,63.813564,19.718734,41.530426,,42.201286
3,3.649369,1.904802,0.0,197.210213,19.045471,52.730748,,52.410698
4,17.264362,13.700638,8.733333,143.636181,17.621141,34.67991,,36.086372
5,12.705183,9.485389,1.747626,82.636672,12.209535,69.375881,,69.9038
6,7.573969,1.463106,-6.541057,19.726047,9.215187,14.247813,,15.8032055
7,11.749524,4.177473,-2.937162,146.911825,2.796695,32.957477,,32.412125
8,9.847899,8.203223,-0.0,127.461258,14.401656,71.214749,,71.9747
9,18.143625,14.362603,8.733333,14.768375,19.007228,29.256709,,26.329866
10,19.790224,14.473328,8.733333,24.101633,6.041166,13.222719,,13.612119
11,7.146955,2.364196,-7.870026,196.319242,18.483607,48.051482,,41.900604
12,20.400683,14.558892,8.733333,99.359884,1.556615,36.227601,,36.247147
13,14.923734,14.357504,8.646395,4.482731,8.333426,13.250598,,13.341134
14,13.078349,7.280635,2.430914,10.76631,5.899728,34.472151,,36.54603
15,12.038134,12.004207,8.562789,28.17476,3.364266,13.277546,,13.582635
16,6.513521,2.128295,-8.669496,178.694862,13.881991,66.628237,,64.09576
17,6.346804,6.326419,-0.0,93.164015,6.960246,65.418196,,64.83226
18,15.299407,13.736033,8.69004,112.171348,21.100461,31.158291,,29.252682
19,13.324605,11.88311,6.42272,98.891269,10.970828,44.114793,,44.457382
20,16.431805,14.392386,8.733333,13.557098,16.249387,39.142867,,40.66205
21,11.963478,9.83611,-0.0,179.529308,0.280625,40.0,,39.96622
22,3.511682,0.535675,0.0,57.713062,13.31777,74.657405,,75.95644
23,18.284453,12.73694,8.733333,53.809363,12.681929,50.488012,,53.08143
24,21.209443,14.009899,8.733333,118.838835,17.762334,45.614199,,46.12564
25,21.283531,10.181027,4.982862,95.175805,14.409297,65.352296,,65.9795
26,13.718155,11.366102,5.854899,73.662208,19.321025,50.660806,,48.605576
27,16.385426,11.146987,8.700974,131.122218,19.852204,24.094742,,26.54742
28,11.943424,5.883405,-0.0,187.640081,3.349123,40.0,,40.06076
29,16.205436,9.832168,4.748462,124.085037,4.236762,36.083297,,35.16976
30,7.714857,2.5678,-6.274239,56.568018,17.401464,50.453458,,48.3295
31,11.3706,10.590691,3.704673,41.03625,1.335512,39.622877,,38.79174
32,9.868345,0.477493,-4.828968,87.826816,8.576198,47.536209,,47.33304
33,7.256453,4.153845,-3.984177,5.450044,6.599249,28.900537,,29.871824
34,1.248846,0.692571,0.0,175.236867,16.151958,67.097493,,66.59526
35,21.068955,1.456977,-4.333333,122.018449,2.292604,39.224048,,37.472763
36,16.50632,12.351867,8.733333,40.718476,17.436661,41.969857,,45.666824
37,21.554942,10.422429,5.728301,103.983365,17.220037,52.10188,,53.648758
38,17.903192,4.756492,3.509007,10.76486,11.712749,44.273838,,44.558746
39,14.310258,14.253331,8.552795,172.437486,5.573752,13.280776,,13.461616
40,15.126171,0.516691,-4.346551,88.586933,1.561001,50.094947,,48.884125
41,17.466103,6.581165,4.691008,109.601831,13.767673,56.69186,,58.074814
42,16.223895,5.723377,4.833042,113.372166,0.542992,36.470982,,38.884995
43,17.291532,11.482752,8.509907,136.078998,1.364935,13.29466,,13.5144
44,14.12479,11.927999,7.387691,74.275716,2.851464,40.0,,39.912914
45,17.630134,2.803089,-4.352375,15.645742,9.91351,27.016104,,28.337141
46,10.687887,7.346466,-0.0,91.270145,14.791389,86.379068,,85.272194
47,12.364034,6.683793,0.999438,9.56876,18.834438,51.915494,,51.155495
48,20.657846,9.694695,4.726229,147.651398,10.965799,35.691799,,34.82267
49,20.36851,10.640472,6.63848,7.600307,1.073259,14.189329,,13.080801
50,15.61817,11.3203,8.617869,190.848865,6.904312,13.259778,,13.426727
51,9.820078,4.140376,-4.130052,148.474467,14.115886,67.970761,,65.14974
52,17.380153,10.19554,5.011175,187.489913,17.300506,40.940034,,43.484295
53,20.906759,9.82647,4.747456,102.672797,6.361311,41.419192,,42.15428
54,20.221886,2.439176,-4.339555,48.18096,10.953096,43.884298,,44.541245
55,13.744067,1.784965,-4.401719,51.993056,18.005562,49.316526,,52.26301
56,12.305907,7.475461,0.856096,151.794832,13.092822,59.072643,,59.872345
57,20.882719,14.396159,8.733333,198.668553,11.801341,31.011734,,31.909975
58,12.579751,5.105786,1.488913,71.34115,7.279209,61.901092,,63.448578
59,20.735485,8.779016,4.666667,150.571568,9.057185,25.17049,,25.086563
60,3.975737,3.357179,0.0,22.009699,17.468137,59.657979,,61.1894
61,16.982471,11.269006,8.646427,119.409046,7.550581,27.639744,,27.789494
62,16.847744,3.826427,-4.410221,86.11904,10.177348,50.673164,,49.03543
63,10.173211,7.589356,-0.0,146.143603,8.092121,40.0,,40.339066
64,14.36094,10.486151,4.878965,52.235234,14.950554,56.499156,,57.509987
65,14.984723,13.363549,8.654423,18.961536,12.491139,34.417368,,35.97156
66,16.83944,14.389371,8.733333,90.192698,14.339091,68.112125,,67.74721
67,13.778131,8.208233,3.408028,128.014902,10.804502,43.533448,,45.9869
68,13.007155,2.079367,-4.408636,26.407763,8.766081,26.699326,,27.9935
69,3.202513,2.23941,0.0,90.564486,10.504653,69.434535,,67.829445
70,13.887734,3.862624,-4.412917,130.43992,1.464928,33.337475,,33.293846
71,15.191029,12.610759,8.678967,165.399666,9.042627,13.384377,,13.631575
72,8.206127,3.814233,-5.426449,61.615382,21.320023,54.372414,,54.115913
73,14.593625,12.214272,8.599018,80.472716,17.175863,60.758427,,60.540962
74,6.481257,3.652875,-8.457627,176.846263,16.038394,67.736534,,64.52542
75,21.64867,13.938954,8.733333,140.115902,16.844314,37.134589,,37.791954
76,20.922312,5.249756,4.699808,48.374459,16.644778,53.940847,,54.495712
77,18.546316,2.948929,-4.35902,151.966363,18.551947,43.227589,,42.174446
78,17.045197,3.766258,-4.406177,58.185147,16.943451,55.643862,,57.43477
79,11.48391,9.24067,-0.0,55.487744,21.53054,66.620939,,65.95995
80,12.469101,7.099333,1.245285,1.221561,2.449908,37.392496,,40.555622
81,8.432425,5.274893,-0.0,74.942228,8.713693,68.311181,,68.40765
82,12.473859,12.462429,8.500816,87.386556,10.825334,47.487667,,48.894424
83,12.962356,8.778961,2.229693,60.859694,5.678082,52.182484,,54.733093
84,17.868488,8.245854,4.666667,58.172066,0.813257,40.808752,,42.272293
85,18.911318,13.757905,8.733333,48.503262,21.436389,29.163942,,29.281008
86,13.906528,4.287585,0.794381,187.336722,15.981372,64.674411,,64.450386
87,16.030236,11.358003,8.59504,172.038048,3.255226,13.267135,,13.385482
88,14.379702,11.305936,6.968751,79.445652,3.25368,40.0,,39.705086
89,13.880376,5.706688,3.332657,95.883821,15.50613,69.819354,,68.4241
90,18.785005,8.517325,4.666667,112.999219,8.381857,37.340253,,38.50129
91,17.043313,1.137814,-4.333333,97.923878,1.681052,45.842461,,45.88855
92,13.016307,0.809252,-4.409025,53.962327,9.038488,39.612368,,41.082714
93,18.457682,7.961963,4.666667,197.948028,3.145792,25.17049,,26.098299
94,18.344578,11.687508,8.622435,36.735139,17.576243,37.120312,,40.159603
95,14.994664,14.01016,8.655717,172.331345,20.46546,13.747919,,15.037363
96,12.06248,1.948593,-4.373609,6.526514,0.103829,26.897043,,28.635725
97,13.209147,8.532355,2.645752,66.391604,14.300893,73.578843,,75.375496
98,8.41931,7.04086,-0.0,149.749399,14.927714,68.333333,,67.71045
99,3.404824,0.178531,0.0,128.873292,5.579703,45.601011,,48.413033
100,8.414461,5.05684,-0.0,33.847593,18.54998,55.723203,,55.09948
101,15.587225,2.432735,-4.339415,190.44102,6.467093,27.088635,,27.40854
102,16.266374,11.914268,8.719198,108.654047,0.590928,32.657725,,32.117916
103,16.703478,4.668226,3.119855,50.282695,2.052758,45.839018,,45.25712
104,11.54147,7.927997,-0.0,115.714462,17.553469,66.327058,,68.03902
105,2.675174,2.484731,0.0,183.09532,15.650858,68.333333,,67.4222
106,15.933585,9.029729,4.66711,179.119305,17.234949,42.989281,,45.451256
107,8.989112,3.944569,-5.393194,96.501323,13.726298,65.004889,,65.131226
108,21.344609,9.811186,4.744786,88.547996,18.15914,58.163362,,57.783882
109,20.908962,10.338218,5.396578,62.35099,0.770497,39.399927,,39.83181
110,15.454521,11.222274,8.669639,11.062754,8.920449,13.310187,,13.532654
111,7.136964,6.758124,-0.0,150.758355,5.492713,40.0,,40.514416
112,15.184719,1.257321,-4.344878,26.389496,10.579731,34.245707,,33.452927
113,18.977017,3.434655,-4.385618,71.184424,19.378461,72.833107,,67.02293
114,21.763449,13.70006,8.733333,79.174193,6.175066,40.0,,39.730663
115,3.408064,2.28567,0.0,177.104245,13.181135,62.442858,,63.240295
116,16.716103,12.387255,8.733333,4.24791,0.576975,13.222719,,12.954004
117,16.185956,8.075137,4.666667,168.816144,3.414371,25.17049,,25.866425
118,19.788296,14.942021,8.733333,57.614129,18.346039,49.435842,,49.397415
119,16.156523,1.172633,-4.333333,50.068577,4.287654,39.26963,,41.126526
120,16.624687,6.640174,4.685234,97.675927,18.255337,53.939029,,54.904198
121,16.429,1.599792,-4.333333,145.807223,7.437647,27.122605,,27.97838
122,17.25907,14.428471,8.733333,40.523219,14.764564,46.828955,,49.867264
123,12.823891,0.069513,-4.401856,43.255241,1.152059,38.676384,,37.407825
124,12.828542,11.623657,5.552935,195.266903,16.154799,42.468238,,40.72384
125,12.821128,12.259548,8.447607,118.647158,10.988599,37.302932,,38.906326
126,21.818503,13.030421,8.733333,60.880716,20.752599,35.344293,,35.503136
127,7.17192,1.266538,-7.762508,193.540577,6.374993,13.594426,,13.5313635
128,15.518268,5.99674,4.778407,179.193966,8.284329,24.467234,,24.814766
129,21.315041,3.898056,-4.415686,38.005095,2.502618,32.878575,,33.19123
130,13.858619,12.001027,8.470195,0.359865,21.226716,13.308639,,13.450952
131,9.468883,6.471207,-0.0,142.352753,9.515254,40.0,,40.25912
132,16.509123,13.659714,8.733333,173.545358,1.86039,13.222719,,13.342721
133,20.706788,2.727705,-4.349256,23.661582,15.766881,50.08124,,52.115845
134,11.005841,3.957044,-4.713469,7.804595,11.149322,36.17885,,35.03431
135,7.597397,2.183085,-6.491008,119.638905,7.21793,27.51164,,26.010666
136,5.073736,2.041028,-8.731681,120.862701,16.577531,60.157579,,60.630608
137,16.597723,13.039383,8.733333,103.286482,18.392128,50.276392,,50.011948
138,13.681038,8.695569,3.29414,1.501481,5.58176,31.744976,,32.37776
139,10.051005,8.247903,-0.0,137.786673,11.75735,53.971399,,54.519745
140,10.799299,2.174322,-4.576871,189.204075,9.573635,25.72554,,26.317244
141,13.637803,12.795467,8.426321,174.707291,3.469491,13.32453,,13.363082
142,17.117642,9.330827,4.682613,22.655291,13.210586,44.814676,,46.8779
143,5.448029,5.264286,-0.0,70.913868,20.623917,86.379536,,82.22097
144,15.897087,7.698743,4.667353,48.387366,2.370689,37.217548,,37.89855
145,18.64138,6.027121,4.773039,112.066662,19.799592,41.041803,,42.28766
146,6.049369,1.1395,-8.698303,122.545422,12.11023,47.432762,,47.588364
147,11.842869,3.598742,-4.395341,60.161818,9.401847,43.294545,,43.658836
148,13.322474,1.849784,-4.421942,159.628343,3.352378,26.623777,,27.41566
149,3.940066,2.758617,0.0,159.128325,5.446012,40.0,,40.41233
150,12.731357,3.599288,-4.397278,156.218453,9.842113,26.763618,,27.36141
151,16.369686,6.259006,4.733943,70.219686,11.721236,57.424509,,56.899483
152,5.44786,0.744816,-8.723702,10.859471,7.802325,13.225801,,14.261231
153,20.621618,13.540742,8.733333,141.740923,17.008526,36.598324,,37.370396
154,21.773571,14.171808,8.733333,198.585688,19.396985,25.66073,,24.64851
155,19.751354,7.362961,4.666667,32.495297,16.150026,47.741744,,47.617638
156,14.757354,7.33879,4.443272,22.713268,8.941509,26.50217,,26.676235
157,9.788329,5.065791,-0.0,182.575085,13.291932,63.142741,,63.928368
158,19.846451,13.500808,8.733333,96.331396,14.104311,62.93113,,65.687706
159,9.438883,5.538702,0.0,170.36119,2.80427,40.0,,40.342236
160,21.132746,1.668041,-4.333333,161.982761,10.916224,37.415231,,37.19143
161,18.090114,11.703781,8.631714,37.351909,6.830326,17.514986,,20.610184
162,15.542668,5.846083,4.807981,49.439971,12.728638,51.192847,,51.998337
163,6.796913,3.625369,-8.465044,10.837768,20.759397,13.519376,,16.421267
164,7.498928,6.058682,-0.0,121.792291,9.392671,50.323375,,50.01513
165,6.693268,1.446818,-8.656889,155.446486,0.728826,13.247225,,13.472081
166,19.168525,1.979599,-4.333333,102.212818,20.447545,54.076563,,54.523834
167,21.300165,14.130759,8.733333,5.550018,20.34961,13.8465,,15.83064
168,19.699801,14.342018,8.733333,198.077056,7.882752,13.222719,,13.438365
169,18.325174,8.628129,4.666667,100.187985,5.719761,43.044021,,43.41536
170,5.74805,0.896693,-8.712788,66.399497,17.310912,61.050634,,59.298103
171,14.166188,3.521699,-4.390138,34.776628,11.254809,38.70248,,36.381916
172,18.836993,5.297379,4.712156,125.127279,12.375597,47.170759,,48.441795
173,16.227958,12.317911,8.733333,115.026967,15.065463,53.770026,,53.851387
174,21.748335,0.231052,-4.333333,150.197077,2.032725,27.122605,,27.48964
175,2.56725,0.645357,0.0,30.70376,19.196737,51.46925,,51.28209
176,8.782016,2.53485,-5.287506,71.357439,20.744633,70.037375,,64.76849
177,16.008277,9.736732,4.733317,28.79016,2.125073,24.753023,,25.641342
178,11.64397,10.975836,4.65034,170.121531,18.609415,37.874175,,37.57653
179,18.630402,9.716189,4.729755,67.573948,20.006704,50.865819,,52.2352
180,15.243619,6.763856,4.686898,55.039299,0.249505,38.951455,,40.87094
181,15.507583,8.205133,4.675953,1.202195,11.521019,38.028735,,38.846634
182,19.01531,4.444812,1.986337,160.382394,14.307596,60.005489,,61.76544
183,20.470416,11.170392,8.691939,99.481657,8.473198,36.177124,,36.57943
184,17.956597,2.834325,-4.353895,107.568568,14.284645,72.93971,,72.3664
185,14.01976,10.301632,3.917318,174.182505,16.782777,48.524877,,49.88964
186,11.456455,2.752667,-4.432139,144.568714,12.665092,49.866699,,51.057274
187,17.918518,5.527269,4.788694,133.617186,13.902221,48.178373,,48.453003
188,10.770263,9.384278,-0.0,35.765558,6.120488,41.122405,,43.316322
189,12.833384,11.703412,5.730405,110.099071,18.476401,45.986862,,43.12384
190,6.825909,1.216887,-8.646687,191.975016,9.390369,13.631711,,13.954249
191,18.168952,13.94079,8.733333,119.204334,13.895692,51.368105,,53.226357
192,21.716547,11.63569,8.591082,161.714142,18.336274,32.583611,,33.15062
193,17.743551,7.301874,4.666667,196.906471,5.94408,25.17049,,25.777325
194,11.359895,6.537879,-0.0,177.18489,8.817616,40.0,,39.879585
195,11.160538,6.701756,-0.0,42.767401,12.193601,61.613925,,64.06466
196,19.395506,4.595242,2.783609,6.926012,9.765038,33.44019,,35.128647
197,20.730164,7.62763,4.666667,90.224758,1.988451,48.300583,,47.411087
198,16.827788,7.661573,4.666667,2.758911,16.376389,46.72431,,48.919907
199,14.750595,12.264416,8.622516,94.74215,0.71754,38.047117,,38.18656
200,12.816004,11.922471,7.138067,190.239418,9.454336,13.906053,,13.492228
201,20.004846,9.664772,4.722442,49.790456,0.81977,36.880121,,38.39653
202,15.222251,5.679141,4.842267,77.28456,21.467551,51.63062,,52.32173
203,21.490101,12.173707,8.733333,86.286675,11.491478,52.269274,,52.526367
204,8.847254,7.992384,-0.0,166.177297,20.01186,40.0,,44.16269
205,15.047272,5.260907,4.702901,164.929364,8.431454,24.944374,,25.079432
206,16.341647,14.085023,8.733333,90.599722,19.457949,48.430775,,46.201637
207,20.473559,13.139142,8.733333,76.112034,5.610387,40.0,,39.852745
208,10.877961,8.252345,-0.0,185.173709,19.999097,40.018804,,45.14508
209,14.940827,9.337126,4.637416,148.168725,19.68033,33.652142,,30.595217
210,13.996472,8.805671,3.652608,147.526615,8.767378,30.369241,,30.223856
211,18.725046,3.116134,-4.367224,189.3832,13.75044,62.949961,,61.53051
212,16.351285,4.518695,2.39923,102.019941,12.48714,59.96886,,62.36122
213,10.16464,7.06385,-0.0,158.375837,19.679261,45.733737,,46.149796
214,9.355836,3.457322,-5.18921,90.4347,4.711648,45.203048,,44.292377
215,13.913807,12.664632,8.480898,169.839742,0.084901,13.304771,,13.271875
216,15.731993,2.921464,-4.35739,78.086166,19.372792,72.927964,,69.94902
217,14.015641,3.388827,-4.387815,147.675302,5.172676,26.817052,,27.82123
218,5.860787,2.560621,-8.685328,195.287711,5.387022,13.238096,,13.373563
219,6.159152,3.414964,-8.518058,104.659812,14.100175,68.301636,,69.726234
220,13.897824,6.53548,3.545085,85.98306,6.699539,53.857718,,54.129913
221,20.407096,4.666534,3.112274,41.431617,18.163658,50.845544,,52.49418
222,18.350538,13.850695,8.733333,64.680276,19.441152,45.796358,,44.741234
223,6.965224,6.453111,-0.0,22.174044,20.798205,40.0,,43.529404
224,3.807908,2.772245,0.0,75.042011,8.597497,68.318454,,68.44698
225,20.35731,13.573215,8.733333,65.980796,17.629041,56.224252,,57.931923
226,17.992966,14.696226,8.733333,68.421034,3.456492,39.186259,,38.766716
227,12.482288,6.58305,1.275113,163.42377,13.753639,61.32914,,62.171783
228,17.722781,1.666788,-4.333333,106.337063,15.377678,73.00879,,71.082085
229,10.475138,3.87097,-4.906569,104.22441,1.889117,39.890652,,40.620804
230,14.578767,6.130798,4.250577,154.861942,11.685951,40.626328,,40.625286
231,18.229462,8.923441,4.666667,24.052554,19.548463,36.019603,,31.340946
232,19.677989,3.933176,-4.417639,125.09003,5.800652,38.374602,,36.43515
233,13.301594,9.042646,2.79186,69.329737,5.165282,56.434597,,57.672585
234,18.03522,10.668237,6.763737,66.923877,18.472459,53.833877,,51.42228
235,21.530095,3.326201,-4.37879,114.923313,10.901881,43.3973,,44.502037
236,3.298748,1.761265,0.0,172.787528,3.35206,40.0,,40.337265
237,14.752243,4.450138,2.014211,39.712614,5.076899,41.816499,,44.17805
238,11.908107,4.781675,-0.605884,134.490193,14.474987,68.505563,,69.20272
239,11.196622,6.362501,-0.0,180.366274,12.384864,57.705695,,58.49057
240,11.412369,7.617874,-0.0,39.831436,6.420232,46.118636,,48.58481
241,17.002297,1.282737,-4.333333,59.65683,13.69071,59.831389,,59.93811
242,21.913587,3.937234,-4.417692,99.304054,15.749919,72.726867,,70.3657
243,13.878094,12.015219,8.474022,177.980846,6.176083,13.307256,,13.448283
244,17.281121,0.438304,-4.333333,100.282918,9.070009,44.605886,,44.55137
245,15.512351,13.932812,8.709013,55.399048,7.968526,32.948143,,33.455925
246,21.915605,10.954963,8.386298,106.791636,17.190624,52.514273,,53.1957
247,19.099006,7.329135,4.666667,114.849911,2.980717,37.221759,,38.79265
248,14.329477,8.677876,4.004306,82.56088,19.845529,57.865139,,57.246895
249,17.000047,3.559254,-4.393473,2.952733,6.371994,26.785119,,28.510864
250,14.416477,6.882732,4.093703,140.552961,10.990274,38.765816,,37.67193
251,20.557175,14.446328,8.733333,101.34943,17.238989,54.093863,,55.842987
252,13.121165,8.202086,2.501977,76.25322,14.895365,79.563783,,79.172844
253,8.855846,7.817037,-0.0,12.986307,3.295858,40.0,,42.35739
254,14.422673,3.473916,-4.387274,71.715992,15.325629,72.827544,,71.28401
255,20.682767,7.333466,4.666667,46.850249,2.838287,37.221759,,37.197235
